id;modelo;preco
1;Fiat Strada;43.115,00
2;Fiat Argo;47.660,00 
3;Fiat Mobi;32.102,00 
4;Jeep Compass;34.950,00 
5;Hyundai HB20;49.302,00 
6;JeepRenegade;36.661,00 
7;Volkswagen T-Cross;38.182,00 
8;Fiat Toro;57.733,00 
9;Hyundai Creta;55.998,00 
10;Chevrolet S10;51.035,00 
11;Toyota Corolla Cross;34.544,00 
12;Toyota Hilux;53.937,00 
13;Toyota Corolla;55.022,00 
14;Volkswagen Gol;48.253,00 
15;Honda HR-V;53.438,00 
16;Renault Kwid;31.810,00 
17;Volkswagen Nivus;35.104,00 
18;Hyundai HB20S;31.855,00 
19;FordRanger;48.927,00 
20;Fiat Uno;38.111,00 
21;Fiat Cronos;36.515,00 
22;Citro�n C4 Cactus;53.654,00 
23;Toyota Yaris Hatchback;55.869,00 
24;Volkswagen Voyage;30.954,00 
25;Honda Civic;30.871,00 
26;Volkswagen Saveiro;32.306,00 
27;Caoa Chery Tiggo 5x;30.069,00 
28;Volkswagen Virtus;40.689,00 
29;Fiat Grand Siena;33.469,00 
30;Caoa Chery Tiggo 8;48.481,00 
31;Chevrolet Tracker;30.648,00 
32;Peugeot 208;46.934,00 
33;Toyota SW4;54.252,00 
34;Nissan Frontier;32.596,00 
35;Honda WR-V;35.139,00 
36;Volkswagen Taos;47.546,00 
37;Mitsubishi L200;57.049,00 
38;Renault Oroch;48.756,00 
39;Toyota Yaris Sedan;43.077,00 
40;Renault Duster;52.641,00 
